17:30 Saturday, December 08, 2018
wigging		нагоняй, нахлобучка, разнос [ 'wɪgɪŋ ]
shoelace		шнурок для ботинок   to knot / tie a shoelace  — завязать шнурок [ 'ʃuːleɪs ]
detour		окольный путь, обход; объезд [ 'diːtuə ]
plinth		плинтус , цоколь; постамент [ plɪnθ ]
cram		впихивать, втискивать переполнять; наполнять доверху, полностью   откармливать на убой спешно готовиться к экзамену, зубрить пичкать, впихивать врать с три короба,пришпоривать лошадь вламываться, врываться давка, толкотня, толпа бессистемные знания, полученные в спешке зубрёжка [ kræm ] 
immense		  безмерный, очень большой, огромный обширный, очень просторный, необъятный; беспредельный, бесконечный классный, крутой, потрясающий [ ɪ'men(t)s ] 
fathom		понимать; исследовать; разузнавать; выяснять, обхватить руками фатом, фадом, морская сажень способность быстрого восприятия; понимание [ 'fæðəm ] 
shirty		раздражённый, рассерженный   похожий на рубашку, рубашечный [ 'ʃɜːtɪ ]
imperceptible		 незаметный, незначительный [ ˌɪmpə'septəbl ]
avert		  отворачиваться; отводить  (взгляд)  отвращать, предотвращать; отводить  (удар, опасность)  [ ə'vɜːt ]
hitherto		до настоящего времени, до сих пор [ ˌhɪðə'tuː ]
hold at bay		держать кого-л. в страхе, не подпускать []
keep smb. at bay		отчаянно защищаться []
loon		бездельник, негодяй неотёсанный человек, деревенщина парень полярная гагара  [ luːn ]
asylum		убежище, пристанище, прибежище приют  (благотворительное учреждение для инвалидов, одиноких, психически больных)  [ ə'saɪləm ]
outlast		  пережить  (кого-л. / что-л.)  прожить, протянуть  (в течение какого-л. времени)    длиться дольше, чем  (что-л.) ; превосходить по длительности продержаться дольше [ ˌaut'lɑːst ]
closure		закрытие; завершение; прекращение облегчение, исцеление герметизация застёжка   бутылочная крышка смыкание соглашение  закрывать дискуссию, прения, обсуждение; прерывать оратора [ 'kləuʒə ] 
rampage		неистовствовать, буйствовать, бушевать; метаться неистовство, ярость; буйство [ ræm'peɪʤ ]
altered		усовершенствованный, alter изменять; менять; видоизменять, вносить изменения, переделывать кастрировать, холостить  (скот)  [ 'ɔːltə ] 
envoy		делегат, посланец, представитель; агент, доверенное лицо  Syn: minister plenipotentiary  [ 'envɔɪ ] 
sublet		 передавать в субаренду, сдавать в поднаём  Syn:  sublease [ sʌb'let ]
prosecutor		обвинитель, прокурор   исполнитель какой-л. работы; человек, занимающийся каким-л. делом истец 
poo		каки, какашки ка-ка, каканье какать I want to do a poo.  — Я хочу какать. dog poo  — собачьи какашки [ puː ]
reproachfully		укоризненно, осуждающе, неодобрительно [ rɪ'prəuʧf(ə)lɪ ], [ -fulɪ ]
distress		затруднительное положение, стеснённые обстоятельства бедствие, бедственное положение нужда, нищета   горе, несчастье,физическая боль, недомогание   причинять страдание, горе; мучить, терзать доводить до нищеты искусственно старить [ dɪ'stres ]
notch		делать запись, отмечать, записывать делать метку; прорезать выемка, метка, зарубка; зазубрина; борозда, желобок, разг. степень; предел, уровень, граница [ nɔʧ ] 
curtsy		приседание, реверанс приседать, делать реверанс [ 'kɜːtsɪ ]
chancellor		  канцлер; премьер-министр номинальный глава университета [ 'ʧɑːn(t)s(ə)lə ]
abiding		постоянный; неизменный; прочный  Syn:  permanent [ ə'baɪdɪŋ ]
groom		  конюх; грум  сокр. от  bridegroom   жених придворный слуга  работник мужчина ходить за лошадью, чистить лошадь готовить к определенной должности, карьере [ gruːm ] 
attaboy		at-a-boy   молодец!  [ 'ætəbɔɪ ]
solicitor		солиситор, стряпчий адвокат,подготавливающий дела для барристера  и выступающий только в судах низшей инстанции, агент фирмы по распространению заказов, коммивояжёр главный юрисконсульт муниципалитета [ sə'lɪsɪtə ]
barrister		барристер  (адвокат, имеющий право выступать в высших судах)  [ 'bærɪstə ]
hypocrite		 лицемер, ханжа [ 'hɪpəkrɪt ]
implication		вовлечение, привлечение; включение замешанность, причастность, соучастие следствие, вывод; последствия,то, что подразумевается; подтекст [ ˌɪmplɪ'keɪʃ(ə)n ]
compulsion		принуждение, насилие [ kəm'pʌlʃ(ə)n ] 
womb		 анат. матка лоно; поэт. мрак исток, начало; in the womb of time когда-нибудь в далёком будущем [ wuːm ]
augment		усиливать; увеличивать, расширять прирост, прибавление аугмент, приращение  [ 'ɔːgmənt ] 
wasting		изнурительный  (о болезни)  опустошительный; опустошающий, разорительный wasting war  — опустошительная война [ 'weɪstɪŋ ]
snuff		резко пресекать, прерывать разг. прикончить snuff it дать дуба, загнуться ; понюшка нюхательный табак что-л. очень маленькое, незначительное    нюхать табак нюхать, обнюхивать;вынюхивать;огарок бесполезный остаток шотл. вспышка раздражения snuff out   тушить  (свечу)  [ snʌf ]
tribute		коллективный дар, подношение, награда дань; подать обязанность платить дань, положение должника [ 'trɪbjuːt ]
oversee		  наблюдать, надзирать; следить,увидеть случайно, подсмотреть [ ˌəuvə'siː ]
vein		   стиль, тон настроение, душевное состояние , вена; кровеносный сосуд ход  (мысли) , источник [ veɪn ] 
fervent		горячий, пламенный; пылкий, страстный; жгучий [ 'fɜːv(ə)nt ]
midst		середина  средь [ mɪdst ] 
go ballistic		прийти в ярость  Syn: go berserk, go postal []
vault		прыгать, перепрыгивать  (опираясь на) вольтижировать  ; подвал, погреб свод возводить свод  изгибаться [ vɔːlt ] 
tell off		 разг. ругать; отчитывать, бранить, разносить производить строевой расчёт отсчитывать, отбирать считать, пересчитывать количество []
wash down		запивать  (еду) The meal was so bad that we had to wash it down with cheap wine. []
